悟空传:修订版,,,https://book.douban.com/subject/1003000/,,,今何在 / 光明日报出版社 / 2001-4 / 14.80元,,,8.4,,,65372
灿烂千阳,,,https://book.douban.com/subject/2143732/,,,[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2007-9 / 28.00元,,,8.8,,,58553
不属于我们的世纪,,,https://book.douban.com/subject/26831234/,,,[美] 马修·托马斯 / 黄瑶 / 广西科学技术出版社 / 2016-9-1 / 46.00元,,,8.3,,,1743
倾城之恋,,,https://book.douban.com/subject/1090043/,,,张爱玲 / 花城出版社 / 1997-3-1 / 11.00,,,8.5,,,94166
博尔赫斯小说集,,,https://book.douban.com/subject/1440972/,,,[阿根廷] 博尔赫斯 / 王永年、陈泉 / 浙江文艺出版社 / 2005-12 / 26.00元,,,9.2,,,7987
玫瑰的名字,,,https://book.douban.com/subject/3836566/,,,[意] 翁贝托·埃科 / 沈萼梅、刘锡荣 / 上海译文出版社 / 2010-03 / 33.00元,,,8.6,,,6554
情人,,,https://book.douban.com/subject/1400705/,,,[法] 玛格丽特·杜拉斯 / 王道乾 / 上海译文出版社 / 2005-7 / 20.00元,,,8.1,,,91953
源泉,,,https://book.douban.com/subject/1431870/,,,[美] 安·兰德 / 高晓晴、赵雅蔷、杨玉 / 重庆出版社 / 2005-11 / 49.80元,,,9.0,,,5464
幽灵,,,https://book.douban.com/subject/27042830/,,,[挪] 尤·奈斯博 / 林立仁 / 湖南文艺出版社 / 2017-6-10 / 42.00元,,,8.6,,,2252
金色梦乡,,,https://book.douban.com/subject/5038409/,,,[日] 伊坂幸太郎 / 李彦桦 / 译林出版社 / 2010-9 / 35.00元,,,9.0,,,13652
2666,,,https://book.douban.com/subject/6800379/,,,[智利] 罗贝托·波拉尼奥 / 赵德明 / 上海人民出版社 / 2012-1-1 / 98.00元,,,8.7,,,2524
一句顶一万句,,,https://book.douban.com/subject/3633461/,,,刘震云 / 长江文艺出版社 / 2009-3 / 29.80,,,8.7,,,21294
一个人的朝圣,,,https://book.douban.com/subject/24934182/,,,【英】蕾秋·乔伊斯 / 黄妙瑜 / 北京联合出版公司 / 2013-9-1 / 32.80,,,8.1,,,35945
