大话西游之月光宝盒,,,https://movie.douban.com/subject/1299398/,,,刘镇伟,,,周星驰、吴孟达、罗家英、蓝洁瑛、莫文蔚,,,8.9,,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1280323646.jpg,,,1299398,,,45,,,1005,,,1437
龙猫,,,https://movie.douban.com/subject/1291560/,,,宫崎骏,,,日高法子、坂本千夏、糸井重里、岛本须美、北林谷荣,,,9.1,,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p537668599.jpg,,,1291560,,,45,,,600,,,838
无间道,,,https://movie.douban.com/subject/1307914/,,,刘伟强、麦兆辉,,,刘德华、梁朝伟、黄秋生、曾志伟、郑秀文,,,9.1,,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2233971046.jpg,,,1307914,,,45,,,580,,,879
摔跤吧！爸爸,,,https://movie.douban.com/subject/26387939/,,,涅提·蒂瓦里,,,阿米尔·汗、法缇玛·萨那·纱卡、桑亚·玛荷塔、阿帕尔夏克提·库拉那、沙克希·坦沃,,,9.1,,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2457983084.jpg,,,26387939,,,45,,,4500,,,6300
七宗罪,,,https://movie.douban.com/subject/1292223/,,,大卫·芬奇,,,摩根·弗里曼、布拉德·皮特、凯文·史派西、格温妮斯·帕特洛、安德鲁·凯文·沃克,,,8.7,,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p457631605.jpg,,,1292223,,,45,,,709,,,1002
美丽人生,,,https://movie.douban.com/subject/1292063/,,,罗伯托·贝尼尼,,,罗伯托·贝尼尼、尼可莱塔·布拉斯基、乔治·坎塔里尼、朱斯蒂诺·杜拉诺、赛尔乔·比尼·布斯特里克,,,9.5,,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p510861873.jpg,,,1292063,,,50,,,2015,,,3000
罗马假日,,,https://movie.douban.com/subject/1293839/,,,威廉·惠勒,,,奥黛丽·赫本、格利高里·派克、埃迪·艾伯特、哈特利·鲍尔、哈考特·威廉姆斯,,,8.9,,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg,,,1293839,,,45,,,1600,,,2400
你的名字。,,,https://movie.douban.com/subject/26683290/,,,新海诚,,,神木隆之介、上白石萌音、长泽雅美、市原悦子、成田凌,,,8.4,,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2395733377.jpg,,,26683290,,,40,,,1428,,,2000
V字仇杀队,,,https://movie.douban.com/subject/1309046/,,,詹姆斯·麦克特格,,,娜塔莉·波特曼、雨果·维文、斯蒂芬·瑞、斯蒂芬·弗雷、约翰·赫特,,,8.8,,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1465235231.jpg,,,1309046,,,45,,,1000,,,1500
辛德勒的名单,,,https://movie.douban.com/subject/1295124/,,,史蒂文·斯皮尔伯格,,,连姆·尼森、本·金斯利、拉尔夫·费因斯、卡罗琳·古多尔、乔纳森·萨加尔,,,9.4,,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg,,,1295124,,,45,,,580,,,856
黑天鹅,,,https://movie.douban.com/subject/1978709/,,,达伦·阿伦诺夫斯基,,,娜塔莉·波特曼、米拉·库尼斯、文森特·卡索、芭芭拉·赫希、薇诺娜·瑞德,,,8.5,,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p719282906.jpg,,,1978709,,,45,,,550,,,813
战狼2,,,https://movie.douban.com/subject/26363254/,,,吴京,,,吴京、弗兰克·格里罗、吴刚、张翰、卢靖姗,,,7.1,,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2494701965.jpg,,,26363254,,,35,,,1024,,,1548
蝴蝶效应,,,https://movie.douban.com/subject/1292343/,,,埃里克·布雷斯、J·麦基·格鲁伯,,,阿什顿·库彻、梅罗拉·沃特斯、艾米·斯马特、埃尔登·汉森、威廉姆·李·斯科特,,,8.7,,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.jpg,,,1292343,,,45,,,1383,,,2048
寻梦环游记,,,https://movie.douban.com/subject/20495023/,,,李·昂克里奇、阿德里安·莫利纳,,,安东尼·冈萨雷斯、盖尔·加西亚·贝纳尔、本杰明·布拉特、阿兰纳·乌巴奇、芮妮·维克托,,,9.0,,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2503997609.jpg,,,20495023,,,45,,,1432,,,2048
失恋33天,,,https://movie.douban.com/subject/4873490/,,,滕华涛,,,白百何、文章、张嘉译、王耀庆、张子萱,,,7.3,,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1252876266.jpg,,,4873490,,,35,,,2143,,,3000
贫民窟的百万富翁,,,https://movie.douban.com/subject/2209573/,,,丹尼·博伊尔、洛芙琳·坦丹,,,戴夫·帕特尔、沙鲁巴·舒克拉、亚尼·卡普、拉詹德拉纳斯·祖特施、吉尼瓦·塔瓦尔,,,8.5,,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2434249040.jpg,,,2209573,,,45,,,1800,,,2664
人再囧途之泰囧,,,https://movie.douban.com/subject/10574622/,,,徐峥,,,徐峥、王宝强、黄渤、陶虹、谢楠,,,7.4,,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1793720172.jpg,,,10574622,,,35,,,4134,,,5906
本杰明·巴顿奇事,,,https://movie.douban.com/subject/1485260/,,,大卫·芬奇,,,凯特·布兰切特、布拉德·皮特、朱莉娅·奥蒙德、芳妮·A·钱勃丝、伊莱亚斯·科泰斯,,,8.8,,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg,,,1485260,,,45,,,1000,,,1545
搏击俱乐部,,,https://movie.douban.com/subject/1292000/,,,大卫·芬奇,,,爱德华·诺顿、布拉德·皮特、海伦娜·伯翰·卡特、扎克·格雷尼尔、米特·洛夫,,,9.0,,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910926158.jpg,,,1292000,,,45,,,400,,,592
情书,,,https://movie.douban.com/subject/1292220/,,,岩井俊二,,,中山美穗、丰川悦司、酒井美纪、柏原崇、范文雀,,,8.8,,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p449897379.jpg,,,1292220,,,45,,,510,,,723
源代码,,,https://movie.douban.com/subject/3075287/,,,邓肯·琼斯,,,杰克·吉伦哈尔、维拉·法米加、米歇尔·莫纳汉、杰弗里·怀特、拉塞尔·皮特斯,,,8.3,,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p988260245.jpg,,,3075287,,,40,,,2600,,,3851
老炮儿,,,https://movie.douban.com/subject/24751756/,,,管虎,,,冯小刚、许晴、张涵予、刘桦、李易峰,,,7.8,,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2292976849.jpg,,,24751756,,,40,,,717,,,1000
头号玩家,,,https://movie.douban.com/subject/4920389/,,,史蒂文·斯皮尔伯格,,,泰伊·谢里丹、 奥利维亚·库克、本·门德尔森、马克·里朗斯、丽娜·维特,,,8.7,,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2516578307.jpg,,,4920389,,,45,,,2000,,,3000
西西里的美丽传说,,,https://movie.douban.com/subject/1292402/,,,朱塞佩·托纳多雷,,,莫妮卡·贝鲁奇、朱塞佩·苏尔法罗、埃丽萨·莫鲁奇,,,8.8,,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792400696.jpg,,,1292402,,,45,,,1201,,,1704
